PackageName,CompromisedVersion,DetectionDate
eact-complaint-image,0.0.35,2025-09-16
encounter-playground,0.0.5,2025-09-16
rxnt-authentication,0.0.6,2025-09-16
@nativescript-community/ui-drawer,0.1.30,2025-09-16
json-rules-engine-simplified,0.2.1,2025-09-16
react-jsonschema-form-conditionals,0.2.4,2025-09-16
react-jsonschema-form-extras,0.3.21,2025-09-16
rxnt-healthchecks-nestjs,1.0.4,2025-09-16
rxnt-kue,1.0.5,2025-09-16
@ctrl/golang-template,1.0.7,2025-09-16
@nativescript-community/text,1.4.3,2025-09-16
swc-plugin-component-annotate,1.6.13,2025-09-16
ngx-color,1.9.2,2025-09-16
angulartics2,10.0.2,2025-09-16
ngx-toastr,14.1.2,2025-09-16
@ctrl/react-adsense,19.0.2,2025-09-16
@nativescript-community/gesturehandler,2.0.2,2025-09-16
ts-gaussian,2.0.35,2025-09-16
@ctrl/ngx-rightclick,3.0.6,2025-09-16
@ctrl/ts-base32,4.0.2,2025-09-16
@ctrl/magnet-link,4.0.2,2025-09-16
@ctrl/tinycolor,4.0.4,2025-09-16
@ctrl/torrent-file,4.1.1,2025-09-16
@nativescript-community/ui-image,4.1.2,2025-09-16
@nativescript-community/sentry,4.1.2,2025-09-16
koa2-swagger-ui,4.5.6,2025-09-16
@ctrl/ngx-csv,4.6.43,2025-09-16
@nativescript-community/ui-collectionview,5.11.1,2025-09-16
@ctrl/shared-torrent,5.11.2,2025-09-16
@ctrl/ngx-codemirror,6.0.2,2025-09-16
@ctrl/deluge,6.0.6,2025-09-16
@nativescript-community/ui-material-bottomsheet,6.3.2,2025-09-16
@nativescript-community/ui-material-core,7.0.2,2025-09-16
@nativescript-community/ui-material-core-tabs,7.2.2,2025-09-16
@ctrl/transmission,7.2.72,2025-09-16
ngx-trend,7.2.76,2025-09-16
@ctrl/ngx-emoji-mart,7.2.76,2025-09-16
@ctrl/qbittorrent,7.3.1,2025-09-16
@ahmedhfarag/ngx-perfect-scrollbar,8.0.1, 20.0.20,2025-09-16
@ahmedhfarag/ngx-virtual-scroller,4.0.4, 9.2.2,2025-09-16
@art-ws/common,9.7.2,2025-09-16
@art-ws/config-eslint,2.0.4, 2.0.5,2025-09-16
@art-ws/config-ts,2.0.7, 2.0.8,2025-09-16
@art-ws/db-context,2.0.24,2025-09-16
@art-ws/di,2.0.28, 2.0.32,2025-09-16
@art-ws/di-node,2.0.13,2025-09-16
@art-ws/eslint,1.0.5, 1.0.6,2025-09-16
@art-ws/fastify-http-server,2.0.24, 2.0.27,2025-09-16
@art-ws/http-server,2.0.21, 2.0.25,2025-09-16
@art-ws/openapi,0.1.9, 0.1.12,2025-09-16
@art-ws/package-base,1.0.5, 1.0.6,2025-09-16
@art-ws/prettier,1.0.5, 1.0.6,2025-09-16
@art-ws/slf,2.0.15, 2.0.22,2025-09-16
@art-ws/ssl-info,1.0.9, 1.0.10,2025-09-16
@art-ws/web-app,1.0.3, 1.0.4,2025-09-16
